name,category,brand,description,price,images,S,M,L,XL,XXL
Tye,T-Shirts,Puma,Color: white\nManufacturer color: whipser white\nMaterial composition: 100% Cotton,36.99,"https://def-live.cdn.aboutyou.cloud/images/6d13a20c1617c59647e94bd625772efa.jpg,https://def-live.cdn.aboutyou.cloud/images/2f1712565c9fb30594176f23185e229c.jpg,https://def-live.cdn.aboutyou.cloud/images/84b41813ff865ca503871c729144853b.jpg",4,9,8,0,0
Tech Auth Personnel,T-Shirts,Nike,Color: white\nManufacturer color: white\nMaterial composition: 100% Cotton,31.44,"https://def-live.cdn.aboutyou.cloud/images/bd32ff7d6ae767f800ba0099fe51e44a.jpg,https://def-live.cdn.aboutyou.cloud/images/0211823f7ec808fd5aa827c135a46785.jpg,https://def-live.cdn.aboutyou.cloud/images/96acdcfab11522936bd533dc52f41af7.jpg",0,1,0,0,0
Levis Eastport Utility Parka,Jackets,Levi's,"Color: green\nManufacturer color: ponderosa pine\nMaterial composition: 54% Cotton, 46% Polyester",241.99,"https://def-live.cdn.aboutyou.cloud/images/234ab95fbff7be56bb4425da66c5d35d.jpg,https://def-live.cdn.aboutyou.cloud/images/7bcb0ebcfc181e8e8a79f46e252f6d04.jpg,https://def-live.cdn.aboutyou.cloud/images/6ae87baa16fd87c4ed02877b031ceff2.jpg",0,0,0,1,0
Sf Wr Pl-Fld Hd,Jackets,Nike,Color: black\nManufacturer color: black\nMaterial composition: 100% Polyester,161.49,"https://def-live.cdn.aboutyou.cloud/images/85a80e76adfd9949d10c5f408e385548.jpg,https://def-live.cdn.aboutyou.cloud/images/977e0cc3e17be7daf8825c7d1023e143.jpg,https://def-live.cdn.aboutyou.cloud/images/1f72f4ac54f5b57a10f79c55050b0972.jpg",0,2,0,0,0
Finn College,Jackets,2Y,Color: khaki\nManufacturer color: khaki\nMaterial composition: 100% Polyester,77.99,"https://def-live.cdn.aboutyou.cloud/images/c02ec3bc108083d7e2a5376d0b2e26b8.jpg,https://def-live.cdn.aboutyou.cloud/images/6dc9097a703e734fcbe44b3536509803.jpg,https://def-live.cdn.aboutyou.cloud/images/73ef5f37d75e2c07defe4c45ba967b2f.jpg",0,0,1,0,0
578 Baggy,Baggies,Levi's,Color: blue\nManufacturer color: z1511 medium indigo stonewash\nMaterial composition: 100% Cotton,105.99,"https://def-live.cdn.aboutyou.cloud/images/f4675f83969e5788cfcfb3c37c2164e6.jpg,https://def-live.cdn.aboutyou.cloud/images/cf2d2dc7183d76a2c2062d050fcf2ba9.jpg,https://def-live.cdn.aboutyou.cloud/images/8c4bdfd72fc95b50a392012bcb153fab.jpg",1,1,0,0,0
90's Loose,Jeans,Urban Classics,Color: black\nManufacturer color: realblack washed\nMaterial composition: 100% Cotton,43.51,"https://def-live.cdn.aboutyou.cloud/images/bbf38940aaf78982de471da325ac331f.jpg,https://def-live.cdn.aboutyou.cloud/images/7ea53b77029490e5feaa827530210592.jpg,https://def-live.cdn.aboutyou.cloud/images/16b7518405a160a2c64149316dbb7139.jpg",1,0,1,0,1
Baggy,Baggies,MJ Gonzales,Color: black\nManufacturer color: black\nMaterial composition: 100% Cotton,63.74,"https://def-live.cdn.aboutyou.cloud/images/5ddc350838b3601fcf8fc4864d119ab4.jpg,https://def-live.cdn.aboutyou.cloud/images/9b45653fa2b69ca70e7a7c5b9bd56cde.jpg,https://def-live.cdn.aboutyou.cloud/images/c53da40893b26a17aaf8f7ee1c243325.jpg",1,0,0,3,0
Levis Red Tab Sweats Hoodie,Hoodies,Levi's,Color: yellow\nManufacturer color: cool yellow\nMaterial composition: 100% Cotton,73.98,"https://def-live.cdn.aboutyou.cloud/images/b80b5ebf6b03f94223635485db636389.jpg,https://def-live.cdn.aboutyou.cloud/images/93a859d6f23ccdefdf2ad4ac0b16a2a1.jpg,https://def-live.cdn.aboutyou.cloud/images/ac74ac951c1cd59c7d1bfae787bbdee5.jpg",0,0,1,0,0
Oversize Cut On Sleeve,T-Shirts,Urban Classics,Color: white\nManufacturer color: white\nMaterial composition: 100% Cotton,13.59,"https://def-live.cdn.aboutyou.cloud/images/eb558e234f7ce6072ea0bc9936abb614.jpg,https://def-live.cdn.aboutyou.cloud/images/4bfc87d04ee8009cb02e250def2e175e.jpg,https://def-live.cdn.aboutyou.cloud/images/0bf1870c8ceca5acb9727634be566647.jpg",0,1,0,2,0
All Over Print Relaxed,Sweatpants,Puma,"Color: beige\nManufacturer color: putty\nMaterial composition: 100% Polyester, 100% Cotton, 100% Polyamide",94.99,"https://def-live.cdn.aboutyou.cloud/images/9b795baa92ad485e4e2f4c63a92d7d7e.jpg,https://def-live.cdn.aboutyou.cloud/images/b12b5d845797642c918c8dc66d216ca1.jpg,https://def-live.cdn.aboutyou.cloud/images/1f05fe23d6943b8e6543405d829e3c83.jpg",4,7,6,4,0
Ladies Oversized,Jackets,Urban Classics,"Color: black\nManufacturer color: black\nMaterial composition: 65% Cotton, 35% Polyester",62.88,"https://def-live.cdn.aboutyou.cloud/images/fe1361444f479561d4ac879220065c6a.jpg,https://def-live.cdn.aboutyou.cloud/images/02f6a17e6f94592438f0e1820ae44c5e.jpg,https://def-live.cdn.aboutyou.cloud/images/f38fd33b9b2bc5e45dd81a3283b9fe77.jpg",0,0,9,9,0
Signature Crop Pinstripe,T-Shirts,Karl Kani,Color: orange\nManufacturer color: orange/white\nMaterial composition: 100% Cotton,23.99,"https://def-live.cdn.aboutyou.cloud/images/2de28f5e9dd4fb230efb18246848b2f9.jpg,https://def-live.cdn.aboutyou.cloud/images/223970c898c168052132b75caf45369b.jpg,https://def-live.cdn.aboutyou.cloud/images/726df1d6cff0806ba24426d22c9c3afe.jpg",9,0,0,0,0
Puma Downtown High Waist Tr Shorts,Shorts,Puma,Color: black\nManufacturer color: white\nMaterial composition: 100% Cotton,57.99,"https://def-live.cdn.aboutyou.cloud/images/8c2e46e767e866a6e774fc84017d1098.jpg,https://def-live.cdn.aboutyou.cloud/images/0a6d7b6d3cd71ea0667c1f41e75ca7fd.jpg,https://def-live.cdn.aboutyou.cloud/images/bb531a77331b4c29dda11305dead8f1c.jpg",3,8,4,0,0
Ribcage W,Shorts,Levi's,"Color: blue\nManufacturer color: charleston chill short\nMaterial composition: 99% Cotton, 1% Spande",57.99,"https://def-live.cdn.aboutyou.cloud/images/a864a514645d1eb9d13ec470e1ec1fb8.jpg,https://def-live.cdn.aboutyou.cloud/images/7dd30fac95b6b00b605ccd3c53406bff.jpg,https://def-live.cdn.aboutyou.cloud/images/8d6ea263cea28a517cc231b361cb02d7.jpg",0,1,0,2,0
Essentials Crp Icn Ftr,T-Shirts,Nike,Color: grey\nManufacturer color: grey\nMaterial composition: 100% Cotton,22.94,"https://def-live.cdn.aboutyou.cloud/images/edf6d85854925c56c8c891c4ab421cde.jpg,https://def-live.cdn.aboutyou.cloud/images/277774b0b62c076394e96ace548da30a.jpg,https://def-live.cdn.aboutyou.cloud/images/b71377293e7d3424c725ebc6d70f453d.jpg",2,0,0,0,0
Small Signature,T-Shirts,Karl Kani,Color: white\nManufacturer color: white\nMaterial composition: 100% Cotton,23.99,"https://def-live.cdn.aboutyou.cloud/images/fad334ee6c5c8f21672220923ce5c891.jpg,https://def-live.cdn.aboutyou.cloud/images/0fd9348955a816848abf23a2cce86209.jpg,https://def-live.cdn.aboutyou.cloud/images/6a444bd65f1395e28e9e3cd703bf8142.jpg",0,0,1,0,0
Essential,T-Shirts,Nike,Color: pink\nManufacturer color: diffused taupe\nMaterial composition: 100% Cotton,39.09,"https://def-live.cdn.aboutyou.cloud/images/b47137bde805a15f0f627f7b142e20d7.jpg,https://def-live.cdn.aboutyou.cloud/images/5b0fabf4aad2e44b30232aaada04baa4.jpg,https://def-live.cdn.aboutyou.cloud/images/a8bbc3549b91e165c53724e32eff7904.jpg",4,0,0,0,0
Basic Box,T-Shirts,Urban Classics,Color: blue\nManufacturer color: vintageblue\nMaterial composition: 100% Cotton,11.04,"https://def-live.cdn.aboutyou.cloud/images/aa489afc458bf759cd8eee3e48070393.jpg,https://def-live.cdn.aboutyou.cloud/images/0963bcb067e5e3461b746999beeae03d.jpg,https://def-live.cdn.aboutyou.cloud/images/b103a9d3ea6fce4d702f8ef0cbf30902.jpg",0,1,0,0,0
Dania,Jeans,2Y,"Color: blue\nManufacturer color: blue\nMaterial composition: 98% Cotton, 2% Spandex",57.99,"https://def-live.cdn.aboutyou.cloud/images/d0676915088cdfc92efdcae60e41e7be.jpg,https://def-live.cdn.aboutyou.cloud/images/2d6e67d5cf576f4b17af7e6937e55eeb.jpg,https://def-live.cdn.aboutyou.cloud/images/a61d5a25ea7785d08bef313ff26fbbac.jpg",1,0,0,1,0
Classics Oversized FL,Hoodies,Puma,Color: black\nManufacturer color: black\nMaterial composition: 100% Cotton,68.98,"https://def-live.cdn.aboutyou.cloud/images/0fe08e2fb26c89dbfd6231d102288938.jpg,https://def-live.cdn.aboutyou.cloud/images/2e1e8e8c7ffb1893801accf16d3ec90a.jpg,https://def-live.cdn.aboutyou.cloud/images/246521ef8735f6afdbbf7af7c49c8018.jpg",9,0,0,0,0
Nsw Bomber,Jackets,Nike,Color: black\nManufacturer color: black/black/white\nMaterial composition: 100% Polyester,138.54,"https://def-live.cdn.aboutyou.cloud/images/515a2d50c8f6161b8a3e609207789073.jpg,https://def-live.cdn.aboutyou.cloud/images/46daf497303076cf2d3cbccb2f6abe55.jpg,https://def-live.cdn.aboutyou.cloud/images/ba23edd36dad873104d264efee7fdd0a.jpg",3,7,2,2,0
Levi's? Straight Fit Jeans,Jeans,Levi's,Color: beige\nManufacturer color: beige\nMaterial composition: 100% Cotton,115.99,"https://def-live.cdn.aboutyou.cloud/images/b662d20d77573d194d47cc8f120ac942.jpg,https://def-live.cdn.aboutyou.cloud/images/fda50b668e59e90493449c76315cebbf.jpg,https://def-live.cdn.aboutyou.cloud/images/b295da70bab5206d19e04366b80e23d8.jpg",1,0,2,0,0
Levi's? T-Shirt,T-Shirts,Levi's,Color: violet\nManufacturer color: purple\nMaterial composition: 100% Cotton,31.99,"https://def-live.cdn.aboutyou.cloud/images/0151b13bcb8c1f9fc864cb6bdf9208e8.jpg,https://def-live.cdn.aboutyou.cloud/images/79e7ebe3ccf912d742e8642f7cc5a775.jpg,https://def-live.cdn.aboutyou.cloud/images/8994c2f676f9dfd77433603014a819cc.jpg",8,9,7,8,0
Fleece,Sweatpants,Nike,"Color: green\nManufacturer color: luminous green\nMaterial composition: 80% Cotton, 20% Polyester",58.63,"https://def-live.cdn.aboutyou.cloud/images/ac0b265e8e8eb46fc3549475d2abc21f.jpg,https://def-live.cdn.aboutyou.cloud/images/22f161f7fc633568ce5e52b054475695.jpg,https://def-live.cdn.aboutyou.cloud/images/3577c4db595116f1b21d14a50ea08a3c.jpg",0,1,0,1,0
Ladies Melange Burnout Loose,Hoodies,Urban Classics,"Color: grey\nManufacturer color: darkgrey\nMaterial composition: 65% Cotton, 35% Polyester",16.13,"https://def-live.cdn.aboutyou.cloud/images/9c7b10b79a83e222a58c052bcb3b6383.jpg,https://def-live.cdn.aboutyou.cloud/images/cd0d5465037aade1175e302368f43dfb.jpg,https://def-live.cdn.aboutyou.cloud/images/aaaa2698b563b0cb413961fb961505a1.jpg",1,0,0,0,0
M Nsw Spe Wvn Hd,Jackets,Nike,Color: black\nManufacturer color: black white\nMaterial composition: 100% Polyester,80.74,"https://def-live.cdn.aboutyou.cloud/images/59db5b5a04c8b142f94644b4ef3de6bf.jpg,https://def-live.cdn.aboutyou.cloud/images/9167d3ddd9e77c8b68b7c1975cc7d5ad.jpg,https://def-live.cdn.aboutyou.cloud/images/971d490583a7584d3a1ca2e1fd3c6827.jpg",0,0,6,0,0
Palma,T-Shirts,Levi's,Color: white\nManufacturer color: premium mv logo fill white +\nMaterial composition: 100% Cotton,17.59,"https://def-live.cdn.aboutyou.cloud/images/4916a20696ea727437727cce021d5c82.jpg,https://def-live.cdn.aboutyou.cloud/images/89850f39fe353ef6f92df7b5665b744b.jpg,https://def-live.cdn.aboutyou.cloud/images/364e89d898375108dc2ae34047ed6242.jpg",9,9,0,0,0
Small Signature,Shorts,Karl Kani,"Color: black\nManufacturer color: black\nMaterial composition: 80% Cotton, 20% Polyester",27.74,"https://def-live.cdn.aboutyou.cloud/images/561997879af3bdcf0c6b6aec03da5637.jpg,https://def-live.cdn.aboutyou.cloud/images/ce78f8c4b3b6d1693c8496cebfcd6745.jpg,https://def-live.cdn.aboutyou.cloud/images/0d3dcd5c34796ebf5fbf180f0dc0602c.jpg",0,0,0,4,5
Gym Vntg Easy,Sweatpants,Nike,"Color: grey\nManufacturer color: grey\nMaterial composition: 50% Cotton, 50% Polyester",45.04,"https://def-live.cdn.aboutyou.cloud/images/7d27eff410002377e18b2851d5a47b48.jpg,https://def-live.cdn.aboutyou.cloud/images/e056d89059dbcbdb06465148807e1d02.jpg,https://def-live.cdn.aboutyou.cloud/images/adde4dac165bb01d304311b021060bf2.jpg",1,0,0,0,0
Essentials Crp Icn Ftr,T-Shirts,Nike,Color: grey,22.94,"https://def-live.cdn.aboutyou.cloud/images/edf6d85854925c56c8c891c4ab421cde.jpg,https://def-live.cdn.aboutyou.cloud/images/277774b0b62c076394e96ace548da30a.jpg,https://def-live.cdn.aboutyou.cloud/images/b71377293e7d3424c725ebc6d70f453d.jpg",0,2,0,0,0
Carlos,Jeans,2Y,"Color: blue\nManufacturer color: blue\nMaterial composition: 97% Cotton, 3% Spandex",73.98,"https://def-live.cdn.aboutyou.cloud/images/c5832c401ecaa294ee348e4c5344312c.jpg,https://def-live.cdn.aboutyou.cloud/images/8622194366adfa5b557b6bf917fa27cc.jpg,https://def-live.cdn.aboutyou.cloud/images/a0d86ba4639c8985c867facd8ac460fe.jpg",1,0,0,0,1
Faux Leather Biker,Jackets,Urban Classics,Color: black\nManufacturer color: black\nMaterial composition: 100% Polyester,54.39,"https://def-live.cdn.aboutyou.cloud/images/fbed54a7bcb5384ff3b8c78474ea7d4c.jpg,https://def-live.cdn.aboutyou.cloud/images/b3f86931dcf7d13daace436239c85229.jpg,https://def-live.cdn.aboutyou.cloud/images/6154156d2770ad94b407b4c8f138664b.jpg",0,4,0,0,0
